line_family,line_source_tab,requested_by,implementer_type,implementer_name,line_destination,publisher_name,ads_txt_url,required_line,ad_system_domain,seller_id,relationship,caid,status,match_level,matched_line,mismatch_reason,mapping_confidence,is_tbd,priority_flag,partner_name
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Handcent,Publisher Ads.txt,,,"dauup.com, 38101, DIRECT",dauup.com,38101,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Smarter-Wireless,Publisher Ads.txt,,,"dauup.com, 38102, DIRECT",dauup.com,38102,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,MX Player,Publisher Ads.txt,,,"dauup.com, 38103, DIRECT",dauup.com,38103,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Mode Mobile,Publisher Ads.txt,,,"dauup.com, 38104, DIRECT",dauup.com,38104,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,StarBerry Games,Publisher Ads.txt,,,"dauup.com, 38105, DIRECT",dauup.com,38105,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Airbrush,Publisher Ads.txt,,,"dauup.com, 38106, DIRECT",dauup.com,38106,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Cats the Game (Zepto Labs),Publisher Ads.txt,,,"dauup.com, 38107, DIRECT",dauup.com,38107,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Mobicia,Publisher Ads.txt,,,"dauup.com, 38108, DIRECT",dauup.com,38108,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Wafour,Publisher Ads.txt,,,"dauup.com, 38109, DIRECT",dauup.com,38109,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,IEC Games,Publisher Ads.txt,,,"dauup.com, 38110, DIRECT",dauup.com,38110,DIRECT,,Missing,Missing,,no matching Ads.txt URL mapping,low,False,False,
