sampled_publisher_id,sampled_publisher_name,sample_schain,total_requests,invalid_traffic_count,ivt_pct,sophisticated_ivt_count,sophisticated_ivt_pct,general_ivt_count,general_ivt_pct,valid_traffic_count,valid_traffic_pct,media_guard_row_number
34104,Smaato,"1.0,1!limpid.tv,102387,1,,,!smaato.com,1100046578,1,,,!dauup.com,34104,1,,,",470429200,5440900,0.011566,4921700,0.010462,519200,0.0011,464988300,0.9884,2
34211,Illumin,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!dauup.com,34211,1,,,",393271900,340800,0.000867,315400,0.000802,25400,0.0,392931100,0.9991,3
34127,Tredio,"1.0,1!outbrain.com,001bc9e8a2637164f89d69d03107b444b4,1,,,!admanmedia.com,2036,1,,,!tredio.io,357a6fdf7642bf815a88822c447d9dc431894,1,,,!dauup.com,34127,1,,,",381704500,588600,0.001542,561000,0.00147,27600,0.0,381115900,0.9984,4
34180,Samsung,"1.0,1!dauup.com,34180,1,,,",349535900,10389800,0.029725,5732700,0.016401,4657100,0.0133,339146100,0.9702,5
34202,Ignite Media,"1.0,1!ignitemediatech.com,pub_63790,1,,,!dauup.com,34202,1,,,",283808200,2919500,0.010287,2295900,0.00809,623600,0.0021,280888700,0.9897,6
34142,Sovrn,"1.0,1!lijit.com,568191,1,,,!dauup.com,34142,1,,,",234811100,1780300,0.007582,1240900,0.005285,539400,0.0022,233030800,0.9924,7
34211,Illumin,"1.0,1!lijit.com,472844,1,,,!admanmedia.com,2068,1,,,!dauup.com,34211,1,,,",196905400,179100,0.00091,167500,0.000851,11600,0.0,196726300,0.999,8
34210,Rise,"1.0,1!eskimi.com,2020001255,1,,,!risecodes.com,680b33a1fc57d10001c035e1,1,,,!dauup.com,34210,1,,,",157385200,98300,0.000625,97800,0.000621,500,0.0,157286900,0.9993,9
34202,Ignite Media,"1.0,1!ignitemediatech.com,pub_63595,1,,,!dauup.com,34202,1,,,",141498400,645200,0.00456,460000,0.003251,185200,0.0013,140853200,0.9954,10
34208,VGI,"1.0,1!lkqd.net,1100056562,1,,,!dauup.com,34208,1,,,",140953100,2062200,0.01463,2039800,0.014471,22400,0.0001,138890900,0.9853,11
44311,Vizio,"1.0,1!dauup.com,44311,1,,,",139122100,1142900,0.008215,782800,0.005627,360100,0.0025,137979200,0.9917,12
34197,zMaticoo,"1.0,1!smoot.ai,100093,1,,,!zmaticoo.com,5135884,1,,,!dauup.com,34197,1,,,",138267900,137569400,0.994948,137435800,0.993982,133600,0.0009,698500,0.005,13
34197,zMaticoo,"1.0,1!zmaticoo.com,56301,1,,,!dauup.com,34197,1,,,",131427200,574000,0.004367,481100,0.003661,92900,0.0007,130853200,0.9956,14
34142,Sovrn,"1.0,1!lijit.com,516513,1,,,!dauup.com,34142,1,,,",127481300,1910000,0.014983,1853700,0.014541,56300,0.0004,125571300,0.985,15
34158,AppoDeal,"1.0,1!ignitemediatech.com,pub_61128,1,,,!bidmachine.io,1490,1,,,!dauup.com,34158,1,,,",123556200,2058900,0.016664,2029500,0.016426,29400,0.0002,121497300,0.9833,16
34210,Rise,"1.0,1!admanmedia.com,2339,1,,,!risecodes.com,69c27ce4d35af000017c7c5d,1,,,!dauup.com,34210,1,,,",112054000,51300,0.000458,51200,0.000457,100,0.0,112002700,0.9995,17
34221,,"1.0,0!vistarsagency.com,ctbg4tjp47is73ckdu6g,1,,,!dauup.com,34221,1,,,",109285500,17855600,0.163385,17275700,0.158079,579900,0.0053,91429900,0.8366,18
34106,AlgoriX,"1.0,1!algorix.co,73484,1,,,!dauup.com,34106,1,,,",106479900,519200,0.004876,497800,0.004675,21400,0.0002,105960700,0.9951,19
34102,PubNative,"1.0,1!limpid.tv,102387,1,,,!pubnative.net,1016803,1,,,!dauup.com,34102,1,,,",106401300,1150900,0.010817,1040700,0.009781,110200,0.001,105250400,0.9891,20
34199,Mindtos,"1.0,1!bigo.sg,23166530,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",100297300,6229800,0.062113,6208900,0.061905,20900,0.0002,94067500,0.9378,21
34199,Mindtos,"1.0,1!bidscube.com,500030,1,,,!mindtos.com,mtafd04e97d5130207,1,,,!dauup.com,34199,1,,,",97372500,96880400,0.994946,96878200,0.994924,2200,0.0,492100,0.005,22
34199,Mindtos,"1.0,1!bigo.sg,23169500,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",93925500,128400,0.001367,92300,0.000983,36100,0.0003,93797100,0.9986,23
34142,Sovrn,"1.0,1!lijit.com,501771,1,,,!dauup.com,34142,1,,,",81042100,1249400,0.015417,1192100,0.01471,57300,0.0007,79792700,0.9845,24
34127,Tredio,"1.0,0!dauup.com,34127,1,,,",79822700,669300,0.008385,400900,0.005022,268400,0.0033,79153400,0.9916,25
34197,zMaticoo,"1.0,1!zmaticoo.com,100050,1,,,!dauup.com,34197,1,,,",77871000,1954400,0.025098,1878500,0.024123,75900,0.0009,75916600,0.9749,26
34210,Rise,"1.0,1!fyber.com,217450,1,,,!risecodes.com,6548dccf58df6d00010625d2,1,,,!dauup.com,34210,1,,,",70555600,31400,0.000445,31400,0.000445,0,0.0,70524200,0.9995,27
34197,zMaticoo,"1.0,1!zmaticoo.com,54423,1,,,!dauup.com,34197,1,,,",67547300,388000,0.005744,259000,0.003834,129000,0.0019,67159300,0.9942,28
34199,Mindtos,"1.0,1!mindtos.com,m33b74a32f677d6c8,1,,,!dauup.com,34199,1,,,",61368300,47619100,0.775956,47615200,0.775892,3900,0.0,13749200,0.224,29
34158,AppoDeal,"1.0,1!ignitemediatech.com,pub_63595,1,,,!bidmachine.io,1490,1,,,!dauup.com,34158,1,,,",59505700,161100,0.002707,152000,0.002554,9100,0.0001,59344600,0.9972,30
44316,Play Works,"1.0,1!dauup.com,44316,1,,,",59131800,539800,0.009129,448800,0.00759,91000,0.0015,58592000,0.9908,31
34167,Lacuna,"1.0,1!limpid.tv,102387,1,,,!ushareit.com,LCcc3432a9ff6738ab,1,,,!dauup.com,34167,1,,,",57760600,340000,0.005886,331500,0.005739,8500,0.0001,57420600,0.9941,32
