seller_id,schain_seller_domains,schain_node_names,sampled_publisher_ids,sampled_publisher_names,schain_node_positions,row_count,source_media_guard_rows,total_requests,invalid_traffic_count,sophisticated_ivt_count,general_ivt_count,valid_traffic_count,max_row_ivt_pct,unique_schain_count,sample_schains,weighted_ivt_pct,weighted_sophisticated_ivt_pct,weighted_general_ivt_pct,weighted_valid_traffic_pct,seller_names_found,seller_domains_found,source_names_found_in,sellers_json_urls_found_in,blacklist_reason,media_guard_seller_names,upstream_domains
LC40c22e57fca55c8a,ushareit.com,,34167,Lacuna,1,1,1,9992400,9944100,9943800,300,48300,0.995166,1,"1.0,1!ushareit.com,LC40c22e57fca55c8a,1,,,!dauup.com,34167,1,,,",0.9951663264080701,0.9951363035907289,3.0022817341179297e-05,0.004833673591929866,fit-pro.fit,fit-pro.fit,Lacuna | Maximents/ushareit,https://www.lacunads.com/sellers.json | https://lacunads.ushareit.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Lacuna,ushareit.com
100068,smoot.ai,,34197,zMaticoo,1,1,1,4674000,4650900,4650600,300,23100,0.995058,1,"1.0,1!smoot.ai,100068,1,,,!zmaticoo.com,5135884,1,,,!dauup.com,34197,1,,,",0.9950577663671374,0.9949935815147625,6.418485237483954e-05,0.004942233632862644,UCWeb,ucweb.com,Kika,https://olaex.biz/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",zMaticoo,smoot.ai
100093,smoot.ai,,34197,zMaticoo,1,1,1,138267900,137569400,137435800,133600,698500,0.994948,1,"1.0,1!smoot.ai,100093,1,,,!zmaticoo.com,5135884,1,,,!dauup.com,34197,1,,,",0.9949482128534534,0.9939819726776786,0.0009662401757747098,0.0050517871465466675,Release Week Media LLC,releaseweek.com,Sovrn | Kika,https://lijit.com/sellers.json | https://olaex.biz/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",zMaticoo,smoot.ai
500030,bidscube.com,,34199,Mindtos,1,1,1,97372500,96880400,96878200,2200,492100,0.994946,1,"1.0,1!bidscube.com,500030,1,,,!mindtos.com,mtafd04e97d5130207,1,,,!dauup.com,34199,1,,,",0.9949462117127525,0.9949236180646487,2.259364810393078e-05,0.005053788287247426,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Mindtos,bidscube.com
200067,intenze.co,,34199,Mindtos,1,1,1,34323000,34147100,34146200,900,175900,0.994875,1,"1.0,1!intenze.co,200067,1,,,!mindtos.com,m609bbc1c59e72c4a,1,,,!dauup.com,34199,1,,,",0.9948751566005303,0.9948489351163943,2.6221484136002096e-05,0.005124843399469743,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Mindtos,intenze.co
159894,pubmatic.com,,34114,PubMatic,1,1,1,2916300,2900900,2900900,0,15400,0.994719,1,"1.0,1!pubmatic.com,159894,1,,,!dauup.com,34114,1,,,",0.9947193361451154,0.9947193361451154,0.0,0.005280663854884614,iHeart via OB (via EB),iheartmedia.com,Pubmatic,https://cdn.pubmatic.com/sellers/data/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",PubMatic,pubmatic.com
63be1c69706b740ecdfc5fde,chartboost.com,,34102 | 34104 | 34109,PubNative | Smaato | Displayio,1,3,3,4944800,4917800,4909800,8000,27000,0.99488,3,"1.0,1!chartboost.com,63be1c69706b740ecdfc5fde,1,,,!pubnative.net,1007485,1,,,!dauup.com,34102,1,,, | 1.0,1!chartboost.com,63be1c69706b740ecdfc5fde,1,,,!smaato.com,1100057440,1,,,!dauup.com,34104,1,,, | 1.0,1!chartboost.com,63be1c69706b740ecdfc5fde,1,,,!pubeasy.io,110588,1,,,!display.io,232020,1,,,!dauup.com,34109,1,,,",0.9945397184921534,0.9929218573046432,0.0016178611875101116,0.005460281507846627,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",PubNative | Smaato | Displayio,chartboost.com
LC0c4bcc1c6bd83752,ushareit.com,,34167,Lacuna,1,1,1,1513600,1505300,1505300,0,8300,0.994516,1,"1.0,1!ushareit.com,LC0c4bcc1c6bd83752,1,,,!dauup.com,34167,1,,,",0.9945163847780126,0.9945163847780126,0.0,0.005483615221987315,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Lacuna,ushareit.com
3138487ac80cf78730fca1098b0c56cd,ogury.com,,34141,Ogury,1,1,1,1587200,1578400,1577300,1100,8800,0.994456,1,"1.0,1!ogury.com,3138487ac80cf78730fca1098b0c56cd,1,,,!dauup.com,34141,1,,,",0.9944556451612904,0.9937626008064516,0.0006930443548387097,0.005544354838709678,WeWard,wewardapp.com,Ogury,https://sellers.ogury.com/,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Ogury,ogury.com
1386,bidscube.com,,34199,Mindtos,1,1,1,23632300,23500800,23500600,200,131500,0.994436,1,"1.0,1!bidscube.com,1386,1,,,!mindtos.com,mtafd04e97d5130207,1,,,!dauup.com,34199,1,,,",0.9944355818096419,0.9944271188161965,8.462993445411577e-06,0.005564418190358112,Xumo llc (via Publica),xumo.com,VoiseTech,https://www.voisetech.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Mindtos,bidscube.com
mtafd04e97d5130207,mindtos.com,,34199,Mindtos,2,5,5,129869800,128915700,128912800,2900,954100,0.995346,5,"1.0,1!bidscube.com,500030,1,,,!mindtos.com,mtafd04e97d5130207,1,,,!dauup.com,34199,1,,, | 1.0,1!bidscube.com,1386,1,,,!mindtos.com,mtafd04e97d5130207,1,,,!dauup.com,34199,1,,, | 1.0,1!bidscube.com,1190,1,,,!mindtos.com,mtafd04e97d5130207,1,,,!dauup.com,34199,1,,, | 1.0,1!bidscube.com,200073,1,,,!mindtos.com,mtafd04e97d5130207,1,,,!dauup.com,34199,1,,, | 1.0,1!bidscube.com,3000041,1,,,!mindtos.com,mtafd04e97d5130207,1,,,!dauup.com,34199,1,,,",0.9926534113396648,0.9926310812829464,2.2330056718344066e-05,0.007346588660335197,bidscube,bidscube.com,Mindtos Supply | Mindtos,https://www.mindtos.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Mindtos,mindtos.com
