seller_id,schain_seller_domains,schain_node_names,sampled_publisher_ids,sampled_publisher_names,schain_node_positions,row_count,source_media_guard_rows,total_requests,invalid_traffic_count,sophisticated_ivt_count,general_ivt_count,valid_traffic_count,max_row_ivt_pct,unique_schain_count,sample_schains,weighted_ivt_pct,weighted_sophisticated_ivt_pct,weighted_general_ivt_pct,weighted_valid_traffic_pct,seller_names_found,seller_domains_found,source_names_found_in,sellers_json_urls_found_in,blacklist_reason,media_guard_seller_names,upstream_domains
562109800,openx.com,,34155,OpenX,1,1,1,113400,113400,0,113400,0,1.0,1,"1.0,1!openx.com,562109800,1,,,!dauup.com,34155,1,,,",1.0,0.0,1.0,0.0,kleinanzeigen.de GmbH,kleinanzeigen.de,OpenX,https://www.openx.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",OpenX,openx.com
560540560,openx.com,,34155,OpenX,2,1,1,216700,216600,0,216600,100,0.999539,1,"1.0,1!google.com,pub-1283624027922691,1,,,!openx.com,560540560,1,,,!dauup.com,34155,1,,,",0.9995385325334564,0.0,0.9995385325334564,0.00046146746654360867,DAZN Media Services Limited (via EB),google.com,OpenX,https://www.openx.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",OpenX,openx.com
pub-1283624027922691,google.com,,34155,OpenX,1,1,1,216700,216600,0,216600,100,0.999539,1,"1.0,1!google.com,pub-1283624027922691,1,,,!openx.com,560540560,1,,,!dauup.com,34155,1,,,",0.9995385325334564,0.0,0.9995385325334564,0.00046146746654360867,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",OpenX,google.com
598161,ironsrc.com,,34109,Displayio,1,1,1,147600,147300,147300,0,300,0.997967,1,"1.0,1!ironsrc.com,598161,1,,,!bidease.com,bidease_seller_15,1,,,!display.io,224469,1,,,!dauup.com,34109,1,,,",0.9979674796747967,0.9979674796747967,0.0,0.0020325203252032522,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,ironsrc.com
8,escalax.io,,34197,zMaticoo,1,1,1,288700,288100,288000,100,600,0.997922,1,"1.0,1!escalax.io,8,1,,,!smoot.ai,100038,1,,,!zmaticoo.com,5135884,1,,,!dauup.com,34197,1,,,",0.9979217180464149,0.9975753377208174,0.00034638032559750607,0.0020782819535850364,lime54 | Vungle | Adokut | evolution | epom,lime54.com | vungle.com | adokutrtb.com | e-volution.ai | epom.com,Escalax | Flat Ads | Kodio | Screencore | Smarty Ads | SmartyAds Supply,https://escalax.io/sellers.json | https://www.flat-ads.com/sellers.json | https://adelion.com/sellers.json | https://screencore.io/sellers.json | https://smartyads.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",zMaticoo,escalax.io
604595,algorix.co,,34102 | 34163,PubNative | E-planning,1,2,2,219000,218400,218300,100,600,0.997354,2,"1.0,1!algorix.co,604595,1,,,!pubnative.net,1007501,1,,,!dauup.com,34102,1,,, | 1.0,1!algorix.co,604595,1,,,!e-planning.net,53f866af404c4b62,1,,,!dauup.com,34163,1,,,",0.9972602739726028,0.9968036529680365,0.00045662100456621003,0.0027397260273972603,ETERNO INFOTECH PRIVATE LIMITED,dailyhunt.in,Do global (DAPP) - algorix | Algorix,https://www.algorix.co/sellers.json | https://algorix.co/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",PubNative | E-planning,algorix.co
35346,mintegral.com,,34167,Lacuna,1,1,1,507500,505800,505500,300,1700,0.99665,1,"1.0,1!mintegral.com,35346,1,,,!ushareit.com,LC7dc692567a127a57,1,,,!dauup.com,34167,1,,,",0.9966502463054188,0.9960591133004926,0.0005911330049261083,0.003349753694581281,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Lacuna,mintegral.com
35341,mintegral.com,,34167,Lacuna,1,1,1,314200,313100,312800,300,1100,0.996499,1,"1.0,1!mintegral.com,35341,1,,,!ushareit.com,LC7dc692567a127a57,1,,,!dauup.com,34167,1,,,",0.9964990451941439,0.9955442393380013,0.0009548058561425843,0.003500954805856143,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Lacuna,mintegral.com
664332ca0b89f1033012acf6,chartboost.com,,34104,Smaato,1,1,1,107600,107200,106800,400,400,0.996283,1,"1.0,1!chartboost.com,664332ca0b89f1033012acf6,1,,,!smaato.com,1100057440,1,,,!dauup.com,34104,1,,,",0.9962825278810409,0.9925650557620818,0.0037174721189591076,0.0037174721189591076,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Smaato,chartboost.com
100038,smoot.ai,,34197,zMaticoo,2,3,3,907200,903800,894800,9000,3400,0.997922,3,"1.0,1!escalax.io,7,1,,,!smoot.ai,100038,1,,,!zmaticoo.com,5135884,1,,,!dauup.com,34197,1,,, | 1.0,1!escalax.io,8,1,,,!smoot.ai,100038,1,,,!zmaticoo.com,5135884,1,,,!dauup.com,34197,1,,, | 1.0,1!escalax.io,130,1,,,!smoot.ai,100038,1,,,!zmaticoo.com,5135884,1,,,!dauup.com,34197,1,,,",0.9962522045855379,0.986331569664903,0.00992063492063492,0.003747795414462081,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",zMaticoo,smoot.ai
1112524,bigo.sg,,34199,Mindtos,1,1,1,439400,437600,436600,1000,1800,0.995904,1,"1.0,1!bigo.sg,1112524,1,,,!mindtos.com,mt0b219ff842ee3772,1,,,!dauup.com,34199,1,,,",0.9959035047792444,0.9936276741010469,0.002275830678197542,0.004096495220755576,MNO GO APPS LTD,triviascapes.mnogoteams.com,Bigo,https://bigo.sg/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Mindtos,bigo.sg
