line_family,line_source_tab,requested_by,implementer_type,implementer_name,line_destination,required_line,ad_system_domain,seller_id,relationship,caid,priority_flag,is_tbd,notes,partner_name,line_id
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Handcent,Publisher Ads.txt,"dauup.com, 38101, DIRECT",dauup.com,38101,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Smarter-Wireless,Publisher Ads.txt,"dauup.com, 38102, DIRECT",dauup.com,38102,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,MX Player,Publisher Ads.txt,"dauup.com, 38103, DIRECT",dauup.com,38103,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Mode Mobile,Publisher Ads.txt,"dauup.com, 38104, DIRECT",dauup.com,38104,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,StarBerry Games,Publisher Ads.txt,"dauup.com, 38105, DIRECT",dauup.com,38105,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Airbrush,Publisher Ads.txt,"dauup.com, 38106, DIRECT",dauup.com,38106,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Cats the Game (Zepto Labs),Publisher Ads.txt,"dauup.com, 38107, DIRECT",dauup.com,38107,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Mobicia,Publisher Ads.txt,"dauup.com, 38108, DIRECT",dauup.com,38108,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Wafour,Publisher Ads.txt,"dauup.com, 38109, DIRECT",dauup.com,38109,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,IEC Games,Publisher Ads.txt,"dauup.com, 38110, DIRECT",dauup.com,38110,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,nWay,Publisher Ads.txt,"dauup.com, 38111, DIRECT",dauup.com,38111,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Mobirate,Publisher Ads.txt,"dauup.com, 38112, DIRECT",dauup.com,38112,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,Belka,Publisher Ads.txt,"dauup.com, 38113, DIRECT",dauup.com,38113,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,LIHUHU,Publisher Ads.txt,"dauup.com, 38114, DIRECT",dauup.com,38114,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,www.airkast.com,Publisher Ads.txt,"dauup.com, 38115, DIRECT",dauup.com,38115,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,devgame.me,Publisher Ads.txt,"dauup.com, 38116, DIRECT",dauup.com,38116,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,www.ysocorp.com,Publisher Ads.txt,"dauup.com, 38118, DIRECT",dauup.com,38118,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,www.mobirix.com,Publisher Ads.txt,"dauup.com, 38119, DIRECT",dauup.com,38119,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,www.dic1.com,Publisher Ads.txt,"dauup.com, 38120, DIRECT",dauup.com,38120,DIRECT,,False,False,,,
Dauup Authorization,Publishers Seller ID Tracker,Dauup,Publisher,rollicgames.com,Publisher Ads.txt,"dauup.com, 38121, DIRECT",dauup.com,38121,DIRECT,,False,False,,,
