source_name,sellers_json_url,http_status,fetch_success,parsed_success,records_parsed,error_message
Adasta,https://www.Adasta.it/sellers.json,200.0,True,True,108,
Admixer,https://admixer.com/sellers.json,404.0,False,False,0,HTTP 404
Adte (TMS),https://themediasense.com/sellers.json,200.0,True,True,68,
Algorix,https://algorix.co/sellers.json,200.0,True,True,356,
Appodeal,https://appodeal.com/sellers.json,200.0,True,True,24,
AscendX,https://ascendxnow.com/sellers.json,200.0,True,True,12,
Axis,https://axis-marketplace.com/sellers.json,200.0,True,True,107,
Bat Ads,https://bat-ads.com/sellers.json,200.0,True,True,63,
Bidease,https://www.bidease.com/sellers.json,200.0,True,True,355,
Bigo,https://bigo.sg/sellers.json,200.0,True,True,20708,
Blue Focus,https://bluexad.ai/sellers.json,200.0,True,True,606,
Cadent,https://cadent.tv/sellers.json,200.0,True,True,189,
Cineverse,https://c360.com/sellers.json,200.0,True,True,38,
Collectcent,http://rtb-useast.motionspots.com/sellers.json,200.0,True,True,82,
Dauup,https://dauup.com/sellers.json,200,True,True,224,
Digital Turbine,https://digitalturbine.com/sellers.json,200.0,True,True,5383,
Displayio,https://www.display.io/sellers.json,200.0,True,True,220,
Do global (DAPP) - algorix,https://www.algorix.co/sellers.json,200.0,True,True,356,
DuoPeak,https://caerulus.io/sellers.json,200.0,True,True,71,
E-Planning,https://www.e-planning.net/sellers.json,200.0,True,True,296,
Escalax,https://escalax.io/sellers.json,200.0,True,True,170,
Eskimi,https://etr.eskimi.com/sellers.json,,False,False,0,"SSLError: HTTPSConnectionPool(host='etr.eskimi.com', port=443): Max retries exceeded with url: /sellers.json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)')))"
Filmzie,https://filmzie.com/sellers.json,200.0,True,True,87,
Filmzie / APMC,https://filmzie.com/sellers.json,200.0,True,True,87,
Flat Ads,https://www.flat-ads.com/sellers.json,200.0,True,True,304,
FreeWheel,https://www.freewheel.com/sellers.json,200.0,True,True,2230,
Fuse Media,https://fuse.tv/sellers.json,200.0,True,True,7,
Fuse Media TV,https://fuse.tv/sellers.json,200.0,True,True,7,
Gadsme,https://www.gadsme.com/sellers.json,200.0,True,True,215,
Germane Media (SwiftTV),https://thegermanemedia.com/sellers.json,200.0,True,True,488,
Gravite,https://dashboard-middleware.gravite.net/sellers.php,200.0,True,True,1690,
Ignite Media,https://www.ignitemediatech.com/sellers.json,200.0,True,True,1593,
Iion,https://pubs.iion.io/sellers.json,200.0,True,True,307,
IndiCue,https://indicue.com/sellers.json,200.0,True,True,53,
Inmobi,https://www.inmobi.com/sellers.json,200.0,True,True,3068,
